Tweet_count,Username,Text,Created At,Retweets,Likes,Image
1,NWS GSP,URGENT: FLASH FLOOD EMERGENCY FOR THE LAKE LURE DAM! DAM FAILURE IMMINENT! RSIDENTS BELOW THE DAM NEED TO EVACUATE TO HIGHER GROUND IMMEDIATELY! #ncwx,Fri Sep 27 15:09:09 +0000 2024,1133,2119
2,Brad Panovich,"Holy cow, this is King Street in downtown Boone, I have never seen this before. #wncwx #ncwx #flood #Helene https://t.co/IKVIsRUvBZ",Fri Sep 27 13:36:59 +0000 2024,735,3158
3,Bryce Shelton,"Flash flood EMERGENCY continues for Hendersonville, North Carolina this morning as #Helene continues to dump rain. i-26 is flooded and closed in both directions, numerous cars submerged. Water has reached many homes as well in town. https://t.co/T2FJhh4eg5",Fri Sep 27 13:50:12 +0000 2024,314,990
4,maybe: k*rk,"This is a massive dam. 

120-ft tall, nearly 100-year-old high-hazard dam with a 95-square mile drainage area.

Unfathomable impacts if this structure fails during this flash flood emergency. https://t.co/MkxlRnDHhn",Fri Sep 27 15:33:58 +0000 2024,75,206
5,Wu Tang is for the Children,Oh so that’s why they tell you not to go into flood waters in Florida and to listen when they tell you when to evacuate https://t.co/wiN6Yvn9hT,Fri Sep 27 16:15:24 +0000 2024,14,96
6,End Wokeness,"Kamala Harris thinks that aid for floods, hurricanes, tornados, &amp; fires should be distributed based on race:

""Communities of color need more"" https://t.co/Lldd8tbcds",Fri Sep 27 12:54:16 +0000 2024,3761,10273
7,Mr. Shaz,"Flooding in Buckhead, Georgia (Atlanta) after #HurricaneHelene. 

Video from Thomas Gilbert captures the devastating impact.

Stay safe out there, everyone! 🌊 

#Helene #HurricaneHelene #Hurricane
#Atlanta #Georgia #Floods #Flooding

 https://t.co/791q9RVhQx",Fri Sep 27 14:48:29 +0000 2024,55,118
8,savage daughter,The flood gates are OPEN https://t.co/jC5nuyYEag,Wed Sep 25 16:07:37 +0000 2024,18305,38865
9,Alexandria Ocasio-Cortez,"I do not see how Mayor Adams can continue governing New York City.

The flood of resignations and vacancies are threatening gov function. Nonstop investigations will make it impossible to recruit and retain a qualified administration.

For the good of the city, he should resign.",Wed Sep 25 19:13:12 +0000 2024,7865,64507
10,Posts Of Cats,"A firefighter saved this cat that was trapped under rubble after an earthquake, and now the cat refuses to leave his side. He later adopted it. https://t.co/GuzdFrzgIw",Wed Sep 25 10:01:12 +0000 2024,8345,114671
11,Every Earthquake,"USGS reports a M1.2 earthquake, 60 km WNW of Skwentna, Alaska on 9/27/24 @ 16:01:39 UTChttps://t.co/6aWiPMePDs#earthquake",Fri Sep 27 16:04:57 +0000 2024,0,0
12,Every Earthquake,"USGS reports a M1.1 earthquake, 33 km WSW of Ackerly, Texas on 9/26/24 @ 22:53:45 UTChttps://t.co/te0HTdLl6B#earthquake",Fri Sep 27 15:44:57 +0000 2024,0,0
